kol1,kol2,kol3,kol4,kol5,kol6
63,-1.0297795195643937,-0.4831782150317383,-0.48525198942972508,-0.49958515512906554,1
64,-1.0154313942661499,-0.40990796955264425,-0.40514894715149335,-0.40174750835082795,1
65,-1.0261873458777098,-0.30701397834505029,-0.30330960766659065,-0.30810228916527421,1
66,-1.0485519462383244,-0.40935633434308055,-0.4142873921316208,-0.40529106334107584,1
67,-1.0338634900650276,-0.4743595314781715,-0.48866277797970509,-0.49452507079998331,1
68,-1.020181066917986,-0.40660937799443986,-0.40323411849185542,-0.40180360684671579,1
69,-1.0354136785013948,-0.29338204384430772,-0.2923853605673673,-0.29652729951375206,1
70,-1.0510015805587596,-0.38456453906038579,-0.38113692096163942,-0.38802768620652778,1
71,-1.026439789109205,-0.47636411773122994,-0.47940278625848737,-0.4767792466007999,1
72,-1.0267128017891924,-0.37877704423462472,-0.38226450072898477,-0.38166798672271085,1
73,-1.0441669138097591,-0.29049858115567329,-0.29348489108676873,-0.29386449090894307,1
74,-1.0574398179368196,-0.38615399644387427,-0.38622692448852847,-0.38957974459275774,1
75,-1.0522955858639056,-0.47688770369284972,-0.47340398709821552,-0.46405984763316604,1
76,-1.0409805192433303,-0.37462949543865121,-0.38113879091150232,-0.38089008757973297,1
77,-1.0609964625761079,-0.26690355378525221,-0.27325203356989158,-0.27001515035716384,1
78,-1.0666549308613269,-0.36620163140643625,-0.36693652170256685,-0.36217749930141596,1
79,-1.0535409724726155,-0.44227493173005888,-0.44875804790482909,-0.45417529265773049,1
80,-1.0418780951775357,-0.34756758102236224,-0.33940524987068305,-0.33731651587379285,1
81,-1.068749274707806,-0.25054149248463531,-0.24167980008422116,-0.24546270865692379,1
82,-1.075211821434084,-0.3211059205120731,-0.32394263445413429,-0.32587429266253859,1
83,-1.0606767011495473,-0.41398633020368941,-0.41946341335220449,-0.41353006243713508,1
84,-1.0467624042195027,-0.29266959294653228,-0.28814244432838448,-0.28189120193661732,1
85,-1.060166204836968,-0.20555423868232189,-0.19938901398424944,-0.20255483910218594,1
86,-1.0639285439611785,-0.29007971238637753,-0.28734771563664019,-0.28891660357163651,1
87,-1.0477964864937017,-0.35574861167267069,-0.35188342530599925,-0.33995127523065793,1
88,-1.0358044980227465,-0.24487367445010158,-0.2432935668159277,-0.2442117121986252,1
89,-1.0434712924607499,-0.14082779412694421,-0.13869418133334377,-0.14730156055239974,1
90,-1.0690933454825846,-0.24465115041641319,-0.250367587147383,-0.2476954287932594,1
